gene_id	gene_name	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUSG00000106648	Gm43176	0.245185	0.46579	0.607914	0.564112	0.48425	0.439419	0.542004	0.244848	0.688318	0.385537	0.436243	0.251649	0.441833	0.490577	0.614525
ENSMUSG00000106650	Gm43404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106651	Gm42608	0.043102	0.152081	0.138092	0.109194	0.140707	0.09373	0.027538	0.069064	0.084685	0.151108	0.133034	0.053233	0.093508	0.144756	0.103948
ENSMUSG00000106652	Gm43358	0	0.029147	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106653	Mir299a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106654	Gm2623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106655	Mir3961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106656	Gm42750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106658	Gm36548	0	0.045083	0	0	0.053965	0.047614	0	0	0	0	0.067968	0	0.10503	0.043094	0
ENSMUSG00000106659	Gm42161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048693
ENSMUSG00000106660	Gm43472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106661	Gm42832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106662	Gm43034	0.15535	0.23495	0.127775	0.337629	0.07199	0.268901	0.276685	0.213287	0.157313	0.259531	0.088182	0.263001	0.491227	0.130572	0.252011
ENSMUSG00000106663	Gm42839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106664	Gm17936	0.0648	0.114347	0.124525	0.054031	0.034719	0.030159	0	0	0.306518	0.117402	0.085911	0.023964	0.126743	0.081732	0.112367
ENSMUSG00000106665	Gm43389	0.17533	0.251306	0.189721	0.176914	0.191322	0.388074	0.367447	0.136981	0.503339	0.230434	0.42013	0.178686	0.627548	0.31268	0.147318
ENSMUSG00000106666	Gm43587	0	0.873425	0.949747	0.457606	0	0	0	0.432689	0.53227	0	0	0	0	0.799016	0.999088
ENSMUSG00000106667	Igkv3-6	0	0	0	0	0	0	0.283456	0	0	0	0	0	0	0	0
ENSMUSG00000106668	Iglj1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106669	Gm38433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106671	Gm42900	0.305873	0.398846	0.178993	0.202125	0.188294	0.396613	0.178412	0.127864	1.441916	0.372953	0.650775	0.236533	0.727034	0.390753	0.288702
ENSMUSG00000106673	Gm43374	0	0.010551	0.023006	0.056805	0.104336	0.044591	0.057305	0.011501	0.056367	0.013975	0.047449	0.035461	0	0.06024	0.074208
ENSMUSG00000106674	Gm20005	0	0	0	0	0	0	0	0.178408	0	0	0	0	0	0	0
ENSMUSG00000106675	Gm43798	0	0	0	0	0	0.107125	0	0	0	0	0	0	0.149799	0	0
